Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
г/п Кокбулак,,2022-04-03,расход,сред.,949.0,м³/с,вегетация
г/п Келес,,2022-04-03,расход,сред.,40.3,м³/с,вегетация
Токтогульское вдхр.,,2022-04-04,приток,сред.,187.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-04,попуск,сред.,41.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-04,объем,сред.,7874.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-04,Сброс,сред.,165.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-04,приток,сред.,383.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-04,приток,утро,397.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-04,попуск,сред.,520.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-04,попуск,утро,520.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-04,расход,сред.,292.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-04,расход,утро,483.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-04,объем,сред.,3301.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-04,приток,сред.,823.7,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-04,приток,сред.,844.7,м³/с,вегетация
Шардаринское вдхр.,,2022-04-04,попуск,сред.,954.0,м³/с,вегетация
Кызылкумский канал,,2022-04-04,расход,сред.,90.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-04,объем,сред.,5059.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-04,приток,сред.,145.0,м³/с,вегетация
река Угам,,2022-04-04,расход,сред.,35.9,м³/с,вегетация
Чарвакское вдхр.,,2022-04-04,попуск,сред.,70.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-04,расход,сред.,113.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-04,объем,сред.,661.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-04,приток,сред.,138.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-04,попуск,сред.,23.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-04,объем,сред.,1087.0,млн м³,вегетация
г/п Учтепа,,2022-04-04,расход,сред.,125.0,м³/с,вегетация
г/п Каль,,2022-04-04,расход,сред.,248.0,м³/с,вегетация
г/п Каль,,2022-04-04,расход,утро,252.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-04,расход,сред.,319.24,м³/с,вегетация
г/п Кокбулак,,2022-04-04,расход,сред.,823.0,м³/с,вегетация
г/п Келес,,2022-04-04,расход,сред.,35.7,м³/с,вегетация
Токтогульское вдхр.,,2022-04-05,приток,сред.,220.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-05,попуск,сред.,87.0,м³/с,вегетация
Токтогульское вдхр.,,2022-04-05,объем,сред.,7881.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-04-05,Сброс,сред.,177.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-05,приток,сред.,389.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-04-05,приток,утро,376.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-05,попуск,сред.,100.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-05,попуск,утро,100.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-05,расход,сред.,96.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-05,расход,утро,96.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-05,объем,сред.,3315.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-05,приток,сред.,730.8,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-05,приток,сред.,750.8,м³/с,вегетация
Шардаринское вдхр.,,2022-04-05,попуск,сред.,700.0,м³/с,вегетация
Кызылкумский канал,,2022-04-05,расход,сред.,40.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-05,объем,сред.,5052.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-05,приток,сред.,164.0,м³/с,вегетация
река Угам,,2022-04-05,расход,сред.,41.3,м³/с,вегетация
Чарвакское вдхр.,,2022-04-05,попуск,сред.,62.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-05,расход,сред.,103.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-05,объем,сред.,671.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-05,приток,сред.,213.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-05,попуск,сред.,55.0,м³/с,вегетация
