Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Чарвакское вдхр.,,2023-10-05,объем,сред.,1513.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-05,приток,сред.,57.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-05,попуск,сред.,65.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-05,объем,сред.,773.0,млн м³,межвегетация
г/п Учтепа,,2023-10-05,расход,сред.,62.0,м³/с,межвегетация
г/п Каль,,2023-10-05,расход,сред.,168.0,м³/с,межвегетация
г/п Каль,,2023-10-05,расход,утро,165.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-05,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-05,расход,сред.,141.0,м³/с,межвегетация
г/п Келес,,2023-10-05,расход,сред.,24.7,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-06,приток,сред.,290.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-06,попуск,сред.,187.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-06,объем,сред.,11782.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-06,Сброс,сред.,185.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-06,приток,сред.,297.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-06,приток,утро,300.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-06,попуск,сред.,80.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-06,попуск,утро,80.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-06,расход,сред.,74.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-06,расход,утро,74.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-06,объем,сред.,1768.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-06,приток,сред.,172.2,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-06,приток,сред.,176.2,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-06,попуск,сред.,92.5,м³/с,межвегетация
Кызылкумский канал,,2023-10-06,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-06,объем,сред.,1011.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-06,приток,сред.,88.9,м³/с,межвегетация
река Угам,,2023-10-06,расход,сред.,8.5,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-06,попуск,сред.,139.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-06,расход,сред.,143.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-06,объем,сред.,1508.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-06,приток,сред.,52.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-06,попуск,сред.,75.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-06,объем,сред.,771.0,млн м³,межвегетация
г/п Учтепа,,2023-10-06,расход,сред.,62.0,м³/с,межвегетация
г/п Каль,,2023-10-06,расход,сред.,172.0,м³/с,межвегетация
г/п Каль,,2023-10-06,расход,утро,174.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-06,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-06,расход,сред.,148.0,м³/с,межвегетация
г/п Келес,,2023-10-06,расход,сред.,24.2,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-07,приток,сред.,282.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-07,попуск,сред.,127.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-07,объем,сред.,11793.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-07,Сброс,сред.,162.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-07,приток,сред.,300.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-07,приток,утро,302.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-07,попуск,сред.,80.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-07,попуск,утро,80.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-07,расход,сред.,74.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-07,расход,утро,74.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-07,объем,сред.,1778.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-07,приток,сред.,180.8,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-07,приток,сред.,181.8,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-07,попуск,сред.,92.5,м³/с,межвегетация
Кызылкумский канал,,2023-10-07,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-07,объем,сред.,1011.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-07,приток,сред.,90.9,м³/с,межвегетация
река Угам,,2023-10-07,расход,сред.,8.8,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-07,попуск,сред.,141.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-07,расход,сред.,142.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-07,объем,сред.,1506.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-07,приток,сред.,44.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-07,попуск,сред.,75.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-07,объем,сред.,769.0,млн м³,межвегетация
г/п Учтепа,,2023-10-07,расход,сред.,64.8,м³/с,межвегетация
г/п Каль,,2023-10-07,расход,сред.,176.0,м³/с,межвегетация
г/п Каль,,2023-10-07,расход,утро,176.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-07,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-07,расход,сред.,156.0,м³/с,межвегетация
г/п Келес,,2023-10-07,расход,сред.,24.8,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-08,приток,сред.,269.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-08,попуск,сред.,114.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-08,объем,сред.,11808.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-08,Сброс,сред.,119.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-08,приток,сред.,308.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-08,приток,утро,305.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-08,попуск,сред.,80.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-08,попуск,утро,80.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-08,расход,сред.,74.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-08,расход,утро,74.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-08,объем,сред.,1813.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-08,приток,сред.,185.1,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-08,приток,сред.,178.1,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-08,попуск,сред.,97.4,м³/с,межвегетация
Кызылкумский канал,,2023-10-08,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-08,объем,сред.,1011.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-08,приток,сред.,90.2,м³/с,межвегетация
река Угам,,2023-10-08,расход,сред.,8.2,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-08,попуск,сред.,130.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-08,расход,сред.,140.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-08,объем,сред.,1502.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-08,приток,сред.,63.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-08,попуск,сред.,75.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-08,объем,сред.,766.0,млн м³,межвегетация
г/п Учтепа,,2023-10-08,расход,сред.,64.8,м³/с,межвегетация
г/п Каль,,2023-10-08,расход,сред.,170.0,м³/с,межвегетация
г/п Каль,,2023-10-08,расход,утро,163.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-08,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-08,расход,сред.,164.0,м³/с,межвегетация
г/п Келес,,2023-10-08,расход,сред.,24.1,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-09,приток,сред.,287.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-09,попуск,сред.,184.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-09,объем,сред.,11822.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-09,Сброс,сред.,174.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-09,приток,сред.,308.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-09,приток,утро,317.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-09,попуск,сред.,80.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-09,попуск,утро,80.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-09,расход,сред.,74.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-09,расход,утро,74.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-09,объем,сред.,1813.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-09,приток,сред.,174.8,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-09,приток,сред.,173.8,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-09,попуск,сред.,97.4,м³/с,межвегетация
Кызылкумский канал,,2023-10-09,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-09,объем,сред.,1014.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-09,приток,сред.,87.9,м³/с,межвегетация
река Угам,,2023-10-09,расход,сред.,7.9,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-09,попуск,сред.,139.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-09,расход,сред.,139.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-09,объем,сред.,1498.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-09,приток,сред.,40.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-09,попуск,сред.,50.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-09,объем,сред.,765.0,млн м³,межвегетация
г/п Учтепа,,2023-10-09,расход,сред.,64.8,м³/с,межвегетация
г/п Каль,,2023-10-09,расход,сред.,167.0,м³/с,межвегетация
г/п Каль,,2023-10-09,расход,утро,167.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-09,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-09,расход,сред.,151.0,м³/с,межвегетация
г/п Келес,,2023-10-09,расход,сред.,23.8,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-10,приток,сред.,287.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-10,попуск,сред.,158.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-10,объем,сред.,11829.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-10,Сброс,сред.,195.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-10,приток,сред.,300.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-10,приток,утро,311.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-10,попуск,сред.,80.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-10,попуск,утро,80.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-10,расход,сред.,75.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-10,расход,утро,74.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-10,объем,сред.,1849.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-10,приток,сред.,167.5,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-10,приток,сред.,171.5,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-10,попуск,сред.,97.4,м³/с,межвегетация
Кызылкумский канал,,2023-10-10,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-10,объем,сред.,1021.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-10,приток,сред.,86.2,м³/с,межвегетация
река Угам,,2023-10-10,расход,сред.,7.9,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-10,попуск,сред.,130.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-10,расход,сред.,136.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-10,объем,сред.,1493.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-10,приток,сред.,39.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-10,попуск,сред.,50.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-10,объем,сред.,764.0,млн м³,межвегетация
г/п Учтепа,,2023-10-10,расход,сред.,64.8,м³/с,межвегетация
г/п Каль,,2023-10-10,расход,сред.,168.0,м³/с,межвегетация
г/п Каль,,2023-10-10,расход,утро,167.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-10,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-10,расход,сред.,144.0,м³/с,межвегетация
г/п Келес,,2023-10-10,расход,сред.,23.5,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-11,приток,сред.,288.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-11,попуск,сред.,185.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-11,объем,сред.,11840.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-11,Сброс,сред.,175.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-11,приток,сред.,297.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-11,приток,утро,300.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-11,попуск,сред.,320.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-11,попуск,утро,320.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-11,расход,сред.,305.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-11,расход,утро,302.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-11,объем,сред.,1852.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-11,приток,сред.,169.9,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-11,приток,сред.,172.9,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-11,попуск,сред.,102.0,м³/с,межвегетация
Кызылкумский канал,,2023-10-11,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-11,объем,сред.,1017.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-11,приток,сред.,85.2,м³/с,межвегетация
река Угам,,2023-10-11,расход,сред.,7.9,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-11,попуск,сред.,133.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-11,расход,сред.,136.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-11,объем,сред.,1490.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-11,приток,сред.,36.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-11,попуск,сред.,50.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-11,объем,сред.,763.0,млн м³,межвегетация
г/п Учтепа,,2023-10-11,расход,сред.,67.6,м³/с,межвегетация
г/п Каль,,2023-10-11,расход,сред.,176.0,м³/с,межвегетация
г/п Каль,,2023-10-11,расход,утро,190.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-11,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-11,расход,сред.,146.0,м³/с,межвегетация
г/п Келес,,2023-10-11,расход,сред.,23.9,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-12,приток,сред.,284.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-12,попуск,сред.,207.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-12,объем,сред.,11804.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-12,Сброс,сред.,130.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-12,приток,сред.,297.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-12,приток,утро,305.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-12,попуск,сред.,320.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-12,попуск,утро,320.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-12,расход,сред.,314.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-12,расход,утро,308.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-12,объем,сред.,1855.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-12,приток,сред.,163.5,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-12,приток,сред.,170.5,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-12,попуск,сред.,104.0,м³/с,межвегетация
Кызылкумский канал,,2023-10-12,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-12,объем,сред.,1014.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-12,приток,сред.,84.0,м³/с,межвегетация
река Угам,,2023-10-12,расход,сред.,8.5,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-12,попуск,сред.,118.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-12,расход,сред.,136.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-12,объем,сред.,1485.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-12,приток,сред.,35.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-12,попуск,сред.,50.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-12,объем,сред.,762.0,млн м³,межвегетация
г/п Учтепа,,2023-10-12,расход,сред.,79.5,м³/с,межвегетация
г/п Каль,,2023-10-12,расход,сред.,178.0,м³/с,межвегетация
г/п Каль,,2023-10-12,расход,утро,180.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-12,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-12,расход,сред.,140.0,м³/с,межвегетация
г/п Келес,,2023-10-12,расход,сред.,23.5,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-13,приток,сред.,312.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-13,попуск,сред.,286.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-13,объем,сред.,11855.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-13,Сброс,сред.,230.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-13,приток,сред.,302.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-13,приток,утро,297.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-13,попуск,сред.,320.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-13,попуск,утро,320.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-13,расход,сред.,314.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-13,расход,утро,316.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-13,объем,сред.,1797.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-13,приток,сред.,175.1,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-13,приток,сред.,183.1,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-13,попуск,сред.,104.0,м³/с,межвегетация
Кызылкумский канал,,2023-10-13,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-13,объем,сред.,1008.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-13,приток,сред.,89.2,м³/с,межвегетация
река Угам,,2023-10-13,расход,сред.,10.9,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-13,попуск,сред.,148.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-13,расход,сред.,136.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-13,объем,сред.,1483.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-13,приток,сред.,36.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-13,попуск,сред.,50.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-13,объем,сред.,761.0,млн м³,межвегетация
г/п Учтепа,,2023-10-13,расход,сред.,67.8,м³/с,межвегетация
г/п Каль,,2023-10-13,расход,сред.,167.0,м³/с,межвегетация
г/п Каль,,2023-10-13,расход,утро,167.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-13,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-13,расход,сред.,151.0,м³/с,межвегетация
г/п Келес,,2023-10-13,расход,сред.,24.1,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-14,приток,сред.,286.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-14,попуск,сред.,209.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-14,объем,сред.,11855.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-14,Сброс,сред.,214.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-14,приток,сред.,309.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-14,приток,утро,302.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-14,попуск,сред.,320.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-14,попуск,утро,320.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-14,расход,сред.,163.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-14,расход,утро,310.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-14,объем,сред.,1846.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-14,приток,сред.,207.8,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-14,приток,сред.,194.8,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-14,попуск,сред.,105.0,м³/с,межвегетация
Кызылкумский канал,,2023-10-14,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-14,объем,сред.,1014.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-14,приток,сред.,88.7,м³/с,межвегетация
река Угам,,2023-10-14,расход,сред.,9.4,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-14,попуск,сред.,153.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-14,расход,сред.,131.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-14,объем,сред.,1478.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-14,приток,сред.,36.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-14,попуск,сред.,50.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-14,объем,сред.,760.0,млн м³,межвегетация
г/п Учтепа,,2023-10-14,расход,сред.,87.2,м³/с,межвегетация
г/п Каль,,2023-10-14,расход,сред.,192.0,м³/с,межвегетация
г/п Каль,,2023-10-14,расход,утро,186.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-14,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-14,расход,сред.,180.0,м³/с,межвегетация
г/п Келес,,2023-10-14,расход,сред.,27.8,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-15,приток,сред.,300.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-15,попуск,сред.,170.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-15,объем,сред.,11862.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-15,Сброс,сред.,212.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-15,приток,сред.,331.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-15,приток,утро,311.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-15,попуск,сред.,100.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-15,попуск,утро,100.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-15,расход,сред.,81.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-15,расход,утро,81.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-15,объем,сред.,1852.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-15,приток,сред.,208.4,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-15,приток,сред.,200.4,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-15,попуск,сред.,105.0,м³/с,межвегетация
Кызылкумский канал,,2023-10-15,расход,сред.,0.0,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-15,объем,сред.,1014.0,млн м³,межвегетация
Чарвакское вдхр.,,2023-10-15,приток,сред.,85.5,м³/с,межвегетация
река Угам,,2023-10-15,расход,сред.,9.1,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-15,попуск,сред.,92.0,м³/с,межвегетация
сброс Газалкентской ГЭС,,2023-10-15,расход,сред.,131.0,м³/с,межвегетация
Чарвакское вдхр.,,2023-10-15,объем,сред.,1474.0,млн м³,межвегетация
Андижанское  вдхр.,,2023-10-15,приток,сред.,39.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-15,попуск,сред.,50.0,м³/с,межвегетация
Андижанское  вдхр.,,2023-10-15,объем,сред.,758.0,млн м³,межвегетация
г/п Учтепа,,2023-10-15,расход,сред.,96.8,м³/с,межвегетация
г/п Каль,,2023-10-15,расход,сред.,199.0,м³/с,межвегетация
г/п Каль,,2023-10-15,расход,утро,199.0,м³/с,межвегетация
Рейка 01 выше Фархад. Пл,,2023-10-15,расход,сред.,нет данных,м³/с,межвегетация
г/п Кокбулак,,2023-10-15,расход,сред.,181.0,м³/с,межвегетация
г/п Келес,,2023-10-15,расход,сред.,27.4,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-16,приток,сред.,382.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-16,попуск,сред.,356.0,м³/с,межвегетация
Токтогульское вдхр.,,2023-10-16,объем,сред.,11876.0,млн м³,межвегетация
Сброс с Учкурганская ГЭС,,2023-10-16,Сброс,сред.,312.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-16,приток,сред.,325.0,м³/с,межвегетация
Бахри   Точик вдхр. (г/п Акжар),,2023-10-16,приток,утро,337.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-16,попуск,сред.,100.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-16,попуск,утро,100.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-16,расход,сред.,81.0,м³/с,межвегетация
г/п Кызылкишлак,,2023-10-16,расход,утро,81.0,м³/с,межвегетация
Бахри   Точик вдхр.,,2023-10-16,объем,сред.,1871.0,млн м³,межвегетация
Шардаринское вдхр.,Казгидромет,2023-10-16,приток,сред.,217.9,м³/с,межвегетация
Шардаринское вдхр.,Узгидромет,2023-10-16,приток,сред.,202.9,м³/с,межвегетация
Шардаринское вдхр.,,2023-10-16,попуск,сред.,105.0,м³/с,межвегетация
